11В;11Б;11А
литр-ра 44;физика 19;рус яз 22
физика 17;географ 32;лит-ра 22
и.п 17;лит-ра 44;географ 32
физика;химия 33;ИКТ
физра;ИКТ;общага
ИКТ;биология;
