11В;11Б;11А
икт;лит-ра 44;физ 19
физ 17;рус яз 44;матем 29
англ яз 40/25;химия 33;матем 29
лит-ра 44;икт;химия 33
рус яз 44;англ яз 40/25;икт
матем 29;матем 27;англ яз 40/25
кл час;кл час;кл час
