11В;11Б;11А
ист 13;матем 27;физ 19
матем 34;матем 27;матем 29
географ 32;ист 34;физ 19
матем 29;общ 34;обж 13/40
черч 34;физика 13;матем 29
химия 29;биология 38;физра
;;физра
