11В;11Б;11А
астр 32;окно;физика 19
общага;история 20;И.П. 19
обж 13/16;И.П. 38/32;матем 29
матем 29;матем 27;история 20
история 20;обж 13/16;астр 32
физика 17;физра;лит-ра 42
;физра;
