11В;11Б;11А
биология 43;матем 27;химия 33
общага 20;биология 43;англ яp 40/16
матем 29;англ яз 40/16;физика 19
англ яз 40/16;физика 19;тех
физика 17;физика 19;тех
матем 29;астр 32;литра 42
;физра;
