accommodates;bathrooms;bedrooms;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;minimum_nights;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed;host_has_profile_pic_f;host_has_profile_pic_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;bed_type_Airbed;bed_type_Couch;bed_type_Futon;bed_type_Pull-out Sofa;bed_type_Real Bed;instant_bookable_f;instant_bookable_t;is_business_travel_ready_f;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict_14_with_grace_period;cancellation_policy_super_strict_30;cancellation_policy_super_strict_60
2;1;1;30.0;100.0;12;1;3.941157708554236;65.0;2;True;False;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
3;1;1;20.0;0.0;19;1;2.481123500119681;20.0;1;False;True;True;True;True;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;0.0;500.0;0;2;4.0484250658544125;21.0;84;True;False;False;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;35.0;500.0;0;2;2.2960911020529484;73.76238072676644;10;False;True;True;False;True;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0
2;1;1;0.0;0.0;13;1;3.779876519098141;51.72299486243642;2;False;False;False;True;True;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;0.0;0.0;0;1;3.3256198081934882;48.554825696768475;1;False;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0
3;1;1;20.0;0.0;19;1;2.541131418067299;35.0;1;False;True;True;True;True;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0
4;1;2;45.0;0.0;10;2;3.605956721642328;2.0;4;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
4;1;1;50.0;300.0;20;2;4.091366983277382;89.74547921812078;5;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;20.0;1000.0;10;2;2.8389605817386565;61.871062101953704;3;True;False;True;True;False;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0
2;1;1;25.0;300.0;10;1;3.5972995214602337;56.38388078964588;2;False;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;0.0;0.0;10;1;3.331703727243163;51.53441431947763;4;False;False;False;True;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;50.0;500.0;0;1;3.927353417005133;44.0;60;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
6;2;2;50.0;0.0;0;1;3.4389605645045727;150.0;3;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;0.0;0.0;0;1;3.8904419043351903;62.24227482682077;4;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;45.0;0.0;15;2;3.714845864175848;110.0;5;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;10.0;90.0;10;1;2.5775086168426866;100.0;4;True;False;False;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;25.0;0.0;0;1;2.0464968498645604;30.0;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;100.0;500.0;10;1;7.5907610570379855;65.52234064052567;60;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
5;2;2;60.0;1500.0;20;4;5.013790224704882;130.0;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
5;1;2;75.0;250.0;15;2;3.8028559981537673;50.0;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
1;1;1;50.0;1200.0;10;1;10.039166255909414;10.0;2;False;False;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
4;1;2;70.0;2400.0;0;1;2.9139177013377644;75.0;90;True;True;False;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;2;39.0;300.0;15;1;3.8129573207220493;77.551998014485;5;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;1;50.0;300.0;20;2;4.252784999891088;89.44997865685848;5;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
10;1;2;50.0;200.0;25;2;21.80729018117522;120.97182964515429;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;25.0;400.0;10;1;4.289876394918334;14.0;6;True;False;False;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
6;1;3;15.0;150.0;18;1;4.863771323763055;67.13766044580433;3;False;False;False;False;False;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0
4;1;2;30.0;200.0;25;2;1.5983301938592918;72.0;2;True;True;False;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;15.0;85.0;15;1;4.165852648642326;45.03277389212612;2;False;True;False;True;True;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;0;0.0;200.0;10;2;5.288944319964231;66.01061010406737;3;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;60.0;200.0;20;2;5.811090276253676;46.0;3;True;True;False;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
2;1;1;40.0;0.0;10;2;3.6497652401293394;70.05003539456057;3;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
6;1;3;45.0;0.0;25;4;3.893871191960276;101.0;4;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;30.0;250.0;10;1;8.105677261168646;56.2249653952517;2;True;True;False;True;False;0;1;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0
5;1;2;60.0;300.0;25;2;2.3078900600189605;108.0;4;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;30.0;200.0;0;1;5.269292054071226;10.0;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;30.0;0.0;0;1;3.5551443290801688;40.0;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0
2;1;1;20.0;0.0;20;1;4.021975159750783;55.730748789081275;2;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
3;2;1;30.0;0.0;20;2;4.783228573349251;85.0;3;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
5;1;2;36.0;190.0;19;1;4.9185509610471865;90.0;1;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
2;1;1;30.0;0.0;0;1;3.551695678312607;15.0;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
2;1;1;40.0;150.0;10;1;2.5961916834220187;70.66789891828407;2;False;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;25.0;0.0;10;1;2.1723865372792845;18.0;2;True;True;False;False;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
4;1;1;40.0;0.0;15;2;4.215948998818062;74.0715915352121;10;True;False;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
3;1;1;20.0;0.0;0;1;2.05662034079342;10.0;2;False;False;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
3;1;1;45.0;125.0;30;2;1.966126755512696;72.89349020324008;1;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;1;50.0;0.0;5;2;4.082946713498696;55.0;60;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;35.0;300.0;25;1;4.171020253194026;70.89900096592855;3;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;25.0;0.0;0;2;4.026832686482081;59.56233713930428;3;True;False;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;30.0;0.0;15;1;2.7398799222037358;40.0;4;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0
6;1;3;50.0;0.0;0;1;3.8161976594346374;150.0;3;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;2;45.0;0.0;15;2;8.764210301198911;75.71649450162055;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;2;20.0;250.0;0;1;1.4222145549891996;66.15689891675878;14;False;False;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;1;25.0;0.0;20;2;2.622514277477249;36.0;60;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
4;1;1;40.0;0.0;10;2;4.396140721009552;21.0;7;False;True;False;False;True;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
4;1;1;25.0;0.0;0;1;16.67604571748248;30.0;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;40.0;0.0;15;2;1.9319629511408583;35.0;2;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
3;1;1;30.0;0.0;20;2;3.930988243568319;15.0;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
6;1;3;88.0;0.0;9;3;3.8807107529306366;80.0;1;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;0.0;0.0;5;1;2.935233131949943;105.0;2;False;True;True;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
4;1;1;40.0;200.0;15;2;3.1983998822812225;40.0;30;False;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
3;1;1;40.0;85.0;10;1;4.224488223508943;25.0;3;True;True;True;False;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;0.0;250.0;0;1;5.098073818777181;44.7785977211334;183;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;2;20.0;100.0;25;2;3.0085204700313435;16.0;2;True;True;True;True;True;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
4;1;1;80.0;1000.0;20;1;1.0842642188704794;70.0;1;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;20.0;0.0;15;2;5.024682536711171;30.0;3;True;False;False;False;True;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0
2;1;2;80.0;3000.0;100;2;4.950487507802074;12.0;180;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
3;1;1;50.0;120.0;12;2;1.9748120949564563;60.0;90;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0
4;1;2;40.0;0.0;40;4;1.5991777703475067;85.0;5;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;1;20.0;100.0;15;1;5.224934112057024;40.0;1;True;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;40.0;1000.0;0;6;2.2303181463414083;50.0;10;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
6;1;2;0.0;1000.0;0;1;6.844575089919804;76.67287490123657;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0
6;2;2;65.0;500.0;8;2;12.502141946026635;45.0;2;True;True;False;False;False;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0
5;1;2;60.0;200.0;25;2;4.819800690258004;92.75685772403462;2;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
2;1;1;20.0;500.0;15;1;1.307773272374654;49.44651608046018;150;False;False;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;2;40.0;200.0;15;2;2.2613315544766;85.0;5;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;15.0;0.0;0;2;2.2932242186324845;10.0;3;True;False;False;False;False;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0
3;1;1;20.0;0.0;10;1;9.086212705271445;50.0;2;False;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
4;1;1;49.0;90.0;20;2;5.434293039410478;84.0;1;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;15.0;150.0;0;1;6.1973195946750606;47.275645775341054;1;True;False;False;False;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0
1;1;1;0.0;500.0;10;1;7.2740242074028165;20.0;5;True;False;False;True;True;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0
2;1;1;50.0;150.0;20;1;4.750948188107759;59.835209134548286;5;True;True;False;True;False;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0
3;1;1;30.0;0.0;18;2;3.142112117766147;65.0;7;False;False;False;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;50.0;0.0;30;2;4.644353201266347;15.0;4;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
5;2;2;50.0;300.0;20;1;3.093982478647271;95.0;2;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;10.0;0.0;0;1;2.941858822992715;10.0;1;False;False;True;False;True;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0
3;1;2;100.0;500.0;30;2;1.2133990473476475;40.0;60;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
3;1;2;30.0;0.0;15;2;1.2830251845455538;56.0;60;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
5;1;2;100.0;500.0;30;2;1.0993590551198096;40.0;60;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
3;1;2;30.0;0.0;15;2;1.0402344536323291;73.4129720925303;60;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;35.0;200.0;10;1;4.31002545753539;15.0;60;False;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
6;2;3;98.0;500.0;69;4;0.8282693521119638;200.0;1;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
6;2;2;98.0;500.0;69;4;0.8957645873398261;200.0;1;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;2;3;20.0;0.0;10;1;8.50453140689691;12.0;1;True;False;False;True;False;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0
2;1;1;30.0;350.0;5;2;2.713187651495918;61.41475516614575;3;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
3;1;1;30.0;250.0;19;2;5.849095633442975;48.0;2;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
3;1;1;40.0;300.0;25;1;2.2984001729210233;53.0;2;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
1;1;1;30.0;100.0;0;1;6.945325008247183;30.0;60;True;True;False;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
1;1;1;0.0;0.0;0;1;1.6758779594736386;48.64721703624321;2;False;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;25.0;100.0;10;1;2.899346570059534;35.0;1;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
3;1;1;15.0;100.0;5;1;6.127531748343691;45.839224102676425;15;False;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
5;1;1;50.0;200.0;15;3;6.871036650435578;89.6509763970167;2;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0
6;2;4;100.0;1000.0;50;6;4.64523745401974;190.0;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
1;1;1;20.0;0.0;0;1;3.017671429118598;150.0;7;False;True;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;0.0;960.0;0;2;3.912362216896111;53.51284175557147;62;True;True;False;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;1;30.0;100.0;25;1;21.561472813627347;63.0;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
10;1;2;50.0;200.0;25;2;21.68611021071164;120.97182964515429;3;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
1;1;1;0.0;0.0;0;1;6.822703895469538;41.58932227916058;2;True;False;False;True;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;35.0;300.0;15;1;9.895131448993085;59.492248739566776;3;False;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
5;1;1;50.0;1800.0;20;1;12.47420124324439;85.20035572356396;1;False;False;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0
3;1;1;40.0;200.0;5;1;3.1632355266355194;67.0;28;False;False;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;2;40.0;150.0;15;2;5.247905246883434;90.0;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
4;1;0;0.0;0.0;10;2;7.858517425823251;60.0;2;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;10.0;250.0;25;1;1.0264549484844585;49.0;1;False;True;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
4;1;0;35.0;0.0;5;2;3.0510569283208913;90.0;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
4;1;1;35.0;0.0;5;2;3.0970139061098845;40.0;2;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;0.0;0.0;10;1;1.5336857385068676;52.176678311029384;2;False;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;0.0;0.0;18;1;2.949228588692122;215.0;3;True;False;True;False;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
5;1;2;40.0;0.0;25;1;7.571846150817341;10.0;3;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;35.0;250.0;15;1;3.3894036471269966;10.0;3;True;True;False;True;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
4;1;1;35.0;0.0;19;2;0.9998337699695174;300.0;4;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;17.0;100.0;0;1;6.050614839103449;50.0;3;False;True;False;False;False;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0
4;1;2;30.0;200.0;7;2;4.473088498636575;60.0;2;True;True;True;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
4;1;2;35.0;150.0;25;2;3.130025860395509;74.9140162218985;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;0;25.0;0.0;10;1;1.4616871038208092;38.0;3;False;False;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;0.0;100.0;15;2;9.08883833057054;62.88368971201252;1;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
1;2;1;30.0;200.0;25;1;5.453384696862092;25.0;7;True;True;False;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0
2;1;1;0.0;0.0;10;1;4.1515029202836695;20.0;1;False;True;False;False;True;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0
4;1;2;40.0;0.0;29;2;14.285103634604587;66.49058527000011;4;True;True;False;False;False;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;49.0;0.0;30;2;3.0607638676736766;84.48423540543432;3;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
4;2;2;70.0;750.0;25;2;4.536067477223032;10.0;4;True;True;False;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;10.0;0.0;0;3;7.41671082106564;15.0;1;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0
4;1;2;60.0;0.0;20;2;11.981064228523884;100.0;5;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
1;1;1;50.0;385.0;35;1;7.488797055155833;53.716556626800894;3;False;True;False;True;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
2;1;1;30.0;150.0;10;1;3.2593991684178816;68.70525370458273;3;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
5;2;3;75.0;500.0;0;1;2.1558325172987405;128.6697208409926;3;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
2;1;1;30.0;300.0;20;1;4.171082879840575;71.53767910580602;2;False;False;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2;1;1;45.0;0.0;15;1;6.961085694610554;30.0;7;True;True;True;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
5;1;1;38.0;0.0;10;4;5.2430412655480865;10.0;3;True;True;True;True;True;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
1;1;1;30.0;0.0;30;1;2.503214626755785;52.63764598255218;1;True;False;False;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
