;accommodates;bathrooms;bedrooms;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;minimum_nights;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed;host_has_profile_pic_f;host_has_profile_pic_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;bed_type_Airbed;bed_type_Couch;bed_type_Futon;bed_type_Pull-out Sofa;bed_type_Real Bed;instant_bookable_f;instant_bookable_t;is_business_travel_ready_f;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict_14_with_grace_period;cancellation_policy_super_strict_30;cancellation_policy_super_strict_60
42742;3;1.5;1.0;20.0;0.0;19.0;1;2.541131418067299;35.0;1;False;True;True;True;True;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0
42809;4;1.0;2.0;45.0;0.0;10.0;2;3.605956721642328;2.0;4;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
43123;4;1.0;1.0;50.0;300.0;20.0;2;4.091366983277382;89.74547921812078;5;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
44083;2;1.0;1.0;20.0;1000.0;10.0;2;2.8389605817386565;61.871062101953704;3;True;False;True;True;False;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0
44423;2;1.0;1.0;25.0;300.0;10.0;1;3.5972995214602337;56.38388078964588;2;False;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
46161;2;1.0;1.0;0.0;0.0;10.0;1;3.331703727243163;51.53441431947763;4;False;False;False;True;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
46172;2;1.0;1.0;50.0;500.0;0.0;1;3.927353417005133;44.0;60;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
47938;6;2.0;2.0;50.0;0.0;0.0;1;3.4389605645045727;150.0;3;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
48955;2;1.0;1.0;0.0;0.0;0.0;1;3.8904419043351903;62.24227482682077;4;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
52734;2;1.0;1.0;45.0;0.0;15.0;2;3.714845864175848;110.0;5;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
54952;2;1.0;1.0;10.0;90.0;10.0;1;2.5775086168426866;100.0;4;True;False;False;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
55455;2;1.0;1.0;25.0;0.0;0.0;1;2.0464968498645604;30.0;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
55853;2;1.0;1.0;100.0;500.0;10.0;1;7.5907610570379855;65.52234064052567;60;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
57049;5;2.0;2.0;60.0;1500.0;20.0;4;5.013790224704882;130.0;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
57209;5;1.0;2.0;75.0;250.0;15.0;2;3.8028559981537673;50.0;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
57792;1;1.0;1.0;50.0;1200.0;10.0;1;10.039166255909414;10.0;2;False;False;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
58041;4;1.0;2.0;70.0;2400.0;0.0;1;2.9139177013377644;75.0;90;True;True;False;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
58780;4;1.5;2.0;39.0;300.0;15.0;1;3.8129573207220493;77.551998014485;5;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
59249;4;1.0;1.0;50.0;300.0;20.0;2;4.252784999891088;89.44997865685848;5;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
