;accommodates;bathrooms;bedrooms;price;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;host_has_profile_pic;room_type;bed_type;minimum_nights;instant_bookable;is_business_travel_ready;cancellation_policy;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed
44083;2;1.0;1.0;42.0;20.0;1000.0;10.0;2;2.8389605817386565;61.871062101953704;t;Private room;Pull-out Sofa;3;f;f;moderate;True;False;True;True;False
44423;2;1.0;1.0;56.0;25.0;300.0;10.0;1;3.5972995214602337;56.38388078964588;t;Private room;Real Bed;2;f;f;moderate;False;False;False;False;False
46161;2;1.0;1.0;50.0;0.0;0.0;10.0;1;3.331703727243163;51.53441431947763;t;Private room;Real Bed;4;t;f;strict_14_with_grace_period;False;False;False;True;False
46172;2;1.0;1.0;48.0;50.0;500.0;0.0;1;3.927353417005133;44.0;t;Entire home/apt;Real Bed;60;f;f;strict_14_with_grace_period;True;False;True;True;False
47938;6;2.0;2.0;160.0;50.0;0.0;0.0;1;3.4389605645045727;150.0;t;Entire home/apt;Real Bed;3;f;f;strict_14_with_grace_period;True;False;True;True;False
48955;2;1.0;1.0;70.0;0.0;0.0;0.0;1;3.8904419043351903;62.24227482682077;t;Entire home/apt;Real Bed;4;f;f;moderate;False;True;False;False;False
52734;2;1.0;1.0;88.0;45.0;0.0;15.0;2;3.714845864175848;110.0;t;Entire home/apt;Real Bed;5;f;f;strict_14_with_grace_period;True;False;True;True;False
54952;2;1.0;1.0;55.0;10.0;90.0;10.0;1;2.5775086168426866;100.0;t;Private room;Real Bed;4;f;f;strict_14_with_grace_period;True;False;False;True;False
55455;2;1.0;1.0;90.0;25.0;0.0;0.0;1;2.0464968498645604;30.0;t;Entire home/apt;Real Bed;2;f;f;strict_14_with_grace_period;True;True;True;False;False
55853;2;1.0;1.0;55.0;100.0;500.0;10.0;1;7.5907610570379855;65.52234064052567;t;Entire home/apt;Real Bed;60;f;f;strict_14_with_grace_period;True;True;True;True;False
57049;5;2.0;2.0;200.0;60.0;1500.0;20.0;4;5.013790224704882;130.0;t;Entire home/apt;Real Bed;3;f;f;strict_14_with_grace_period;True;True;True;True;False
57209;5;1.0;2.0;80.0;75.0;250.0;15.0;2;3.8028559981537673;50.0;t;Entire home/apt;Real Bed;3;t;f;strict_14_with_grace_period;True;True;True;True;False
57792;1;1.0;1.0;49.0;50.0;1200.0;10.0;1;10.039166255909414;10.0;t;Entire home/apt;Real Bed;2;t;f;moderate;False;False;True;False;False
58041;4;1.0;2.0;55.0;70.0;2400.0;0.0;1;2.9139177013377644;75.0;t;Entire home/apt;Real Bed;90;f;f;strict_14_with_grace_period;True;True;False;True;False
58780;4;1.5;2.0;130.0;39.0;300.0;15.0;1;3.8129573207220493;77.551998014485;t;Entire home/apt;Real Bed;5;f;f;strict_14_with_grace_period;False;True;True;False;False
59249;4;1.0;1.0;90.0;50.0;300.0;20.0;2;4.252784999891088;89.44997865685848;t;Entire home/apt;Real Bed;5;t;f;strict_14_with_grace_period;True;True;False;False;False
60161;10;1.5;2.0;120.0;50.0;200.0;25.0;2;21.80729018117522;120.97182964515429;t;Entire home/apt;Real Bed;2;t;f;strict_14_with_grace_period;True;True;True;False;False
63052;2;1.0;1.0;37.0;25.0;400.0;10.0;1;4.289876394918334;14.0;t;Private room;Real Bed;6;f;f;strict_14_with_grace_period;True;False;False;True;False
64245;6;1.0;3.0;44.0;15.0;150.0;18.0;1;4.863771323763055;67.13766044580433;t;Private room;Pull-out Sofa;3;f;f;strict_14_with_grace_period;False;False;False;False;False
64590;4;1.0;2.0;102.0;30.0;200.0;25.0;2;1.5983301938592918;72.0;t;Entire home/apt;Real Bed;2;f;f;moderate;True;True;False;True;False
68142;2;1.0;1.0;29.0;15.0;85.0;15.0;1;4.165852648642326;45.03277389212612;t;Private room;Real Bed;2;f;f;strict_14_with_grace_period;False;True;False;True;True
68448;4;1.0;0.0;84.0;0.0;200.0;10.0;2;5.288944319964231;66.01061010406737;t;Entire home/apt;Real Bed;3;t;f;strict_14_with_grace_period;True;False;True;True;False
72079;2;1.0;1.0;80.0;60.0;200.0;20.0;2;5.811090276253676;46.0;t;Entire home/apt;Real Bed;3;t;f;moderate;True;True;False;True;False
73302;2;1.0;1.0;69.0;40.0;0.0;10.0;2;3.6497652401293394;70.05003539456057;t;Entire home/apt;Real Bed;3;t;f;strict_14_with_grace_period;True;True;True;False;False
74614;6;1.0;3.0;185.0;45.0;0.0;25.0;4;3.893871191960276;101.0;t;Entire home/apt;Real Bed;4;f;f;strict_14_with_grace_period;False;True;True;False;False
80843;2;1.0;1.0;49.0;30.0;250.0;10.0;1;8.105677261168646;56.2249653952517;t;Entire home/apt;Pull-out Sofa;2;t;f;moderate;True;True;False;True;False
